Case.Number,Time,Date,Location,Accident.Type,Tickets
B8-044847,2018-05-22T16:35:00Z,2018-05-22T05:00:00Z,at 3700 CORNHUSKER,NA,NA
B8-044873,2018-05-22T17:28:00Z,2018-05-22T05:00:00Z,HAVELOCK bet N 69 and N 70,NA,B8-044873
B8-044887,2018-05-22T17:50:00Z,2018-05-22T05:00:00Z,N 48 bet CORNHUSKER and PROGRESSIVE,NA,NA
B8-044893,2018-05-22T17:30:00Z,2018-05-22T05:00:00Z,S ANTELOPE VALL bet L and M,NA,NA
B8-044928,2018-05-22T19:00:00Z,2018-05-22T05:00:00Z,at 3301 HOLDREGE,INJURY,NA
B8-044939,2018-05-22T20:21:00Z,2018-05-22T05:00:00Z,N COTNER bet ADAMS and CLEVELAND,INJURY,B8-044939
B8-045008,2018-05-23T00:13:00Z,2018-05-23T05:00:00Z,337 C ST,No report,NA
B8-045050,2018-05-23T06:40:00Z,2018-05-23T05:00:00Z,S 48 bet BRYSON and C,NA,B8-045050
B8-045057,2018-05-23T10:20:00Z,2018-05-23T05:00:00Z,S 27 bet TAMARIN RIDGE RD and GRAINGER PKWY,NA,B8-045057
B8-045058,2018-05-23T07:24:00Z,2018-05-23T05:00:00Z,S 33RD ST / N ST,NA,NA
B8-045062,2018-05-23T07:32:00Z,2018-05-23T05:00:00Z,S 18 at L,INJURY,B8-045062
B8-045064,2018-05-23T07:42:00Z,2018-05-23T05:00:00Z,N 14 bet TURTLE CREEK RD and FLETCHER,NA,B8-045064
B8-045080,2018-05-23T08:40:00Z,2018-05-23T05:00:00Z,CORNHUSKER bet N 31 and N 33,H&R,B8-045080
B8-045089,2018-05-23T09:00:00Z,2018-05-23T05:00:00Z,N 14 bet VINE and W,NA,NA
B8-045117,2018-05-23T11:00:00Z,2018-05-23T05:00:00Z,120 S 29 at PARKING LOT,H&R,NA
B8-045126,2018-05-23T11:32:00Z,2018-05-23T05:00:00Z,SUPERIOR PLACE APTS @1501 SUPERIOR ST,No report,NA
B8-045131,2018-05-23T11:43:00Z,2018-05-23T05:00:00Z,N 27 bet T and VINE,NA,B8-045131
B8-045134,2018-05-23T11:55:00Z,2018-05-23T05:00:00Z,W FLETCHER bet NW 7 and NW 12,INJURY,B8-045134
B8-045137,2018-05-23T11:57:00Z,2018-05-23T05:00:00Z,S 27 bet NEBR HWY and PICCADILLY,NA,B8-045137
B8-045144,2018-05-23T12:03:00Z,2018-05-23T05:00:00Z,BLGHE MED PLAZA @1500 S 48TH ST,No report,NA
B8-045147,2018-05-23T07:45:00Z,2018-05-23T05:00:00Z,N COTNER bet HOLDREGE and STARR,NA,NA
B8-045156,2018-05-23T00:00:00Z,2018-05-23T05:00:00Z,at 5330 S 56,NA,NA
B8-045172,2018-05-23T13:20:00Z,2018-05-23T05:00:00Z,S 40 bet LINDEN and SPRUCE,INJURY,NA
B8-045173,2018-05-23T13:21:00Z,2018-05-23T05:00:00Z,S 56 at N,INJURY,B8-045173
B8-045184,2018-05-23T11:54:00Z,2018-05-23T05:00:00Z,2930 S 37 at SOUTHEAST HIGH,H&R,B8-045184
B8-045201,2018-05-23T14:50:00Z,2018-05-23T05:00:00Z,27 at O,NA,B8-045201
B8-045217,2018-05-23T15:37:00Z,2018-05-23T05:00:00Z,W O at S CODDINGTON,NA,B8-045217
B8-045222,2018-05-23T15:45:00Z,2018-05-23T05:00:00Z,S 56 bet ELKCREST and LASALLE,NA,B8-045222
B8-045223,2018-05-23T15:51:00Z,2018-05-23T05:00:00Z,N 84 at HOLDREGE,INJURY,B8-045223
B8-045227,2018-05-23T16:02:00Z,2018-05-23T05:00:00Z,S COTNER bet M and N,NA,B8-045227
B8-045233,2018-05-23T15:57:00Z,2018-05-23T05:00:00Z,3531 T ST,No report,NA
B8-045234,2018-05-23T15:50:00Z,2018-05-23T05:00:00Z,W O bet S CODDINGTON and W 20,NA,B8-045234
B8-045238,2018-05-23T00:00:00Z,2018-05-23T05:00:00Z,5201 VINE at CULLER MIDDLE,H&R,NA
B8-045245,2018-05-23T16:35:00Z,2018-05-23T05:00:00Z,at 920 GARFIELD,H&R,NA
B8-045248,2018-05-23T16:52:00Z,2018-05-23T05:00:00Z,P bet N 13 and N 14,NA,B8-045248
B8-045269,2018-05-23T17:32:00Z,2018-05-23T05:00:00Z,O bet 56 and COTNER,INJURY,B8-045269
B8-045271,2018-05-23T17:36:00Z,2018-05-23T05:00:00Z,S 27 bet J and K,INJURY,B8-045271
B8-045279,2018-05-23T17:36:00Z,2018-05-23T05:00:00Z,CAPITOL PKWY bet E and RANDOLPH,NA,B8-045279
B8-045302,2018-05-23T19:00:00Z,2018-05-23T05:00:00Z,S 27 at GRAINGER PKWY,INJURY,NA
B8-045323,2018-05-23T20:00:00Z,2018-05-23T05:00:00Z,N 48 bet CLEVELAND and MADISON,H&R,NA
B8-045352,2018-05-23T21:25:00Z,2018-05-23T05:00:00Z,MERIDIAN DR bet FLETCHER and CASCADE DR,INJURY,B8-045352
B8-045465,2018-05-24T08:30:00Z,2018-05-24T05:00:00Z,N 84TH ST / ELIZABETH DR ; W OF,No report,NA
B8-045479,2018-05-24T08:47:00Z,2018-05-24T05:00:00Z,CORNHUSKER bet N 48 and SUPERIOR,INJURY,NA
B8-045487,2018-05-24T09:05:00Z,2018-05-24T05:00:00Z,S 48 bet F and RANDOLPH,NA,B8-045487
B8-045492,2018-05-24T06:00:00Z,2018-05-24T05:00:00Z,at 4133 BELLVILLE,H&R,NA
B8-045497,2018-05-24T09:36:00Z,2018-05-24T05:00:00Z,O bet COTNER and LYNCREST,NA,B8-045497
B8-045504,2018-05-24T10:20:00Z,2018-05-24T05:00:00Z,at 3761 NORMAL,NA,NA
B8-045532,2018-05-24T11:22:00Z,2018-05-24T05:00:00Z,S 37 bet MELROSE and PAWNEE,H&R,B8-045532
B8-045537,2018-05-24T12:04:00Z,2018-05-24T05:00:00Z,SUPERIOR bet I 180 and N 1,NA,B8-045537
B8-045555,2018-05-24T12:45:00Z,2018-05-24T05:00:00Z,S 70 at VAN DORN,INJURY,NA
B8-045565,2018-05-24T13:11:00Z,2018-05-24T05:00:00Z,NSHS @5801 N 33RD ST,No report,NA
B8-045577,2018-05-24T13:43:00Z,2018-05-24T05:00:00Z,S 7 bet L and M,NA,B8-045577
B8-045580,2018-05-24T13:46:00Z,2018-05-24T05:00:00Z,N 11TH ST / CORNHUSKER HWY,No report,NA
B8-045583,2018-05-24T00:00:00Z,2018-05-24T05:00:00Z,at UNKNOWN,H&R,NA
B8-045584,2018-05-24T13:59:00Z,2018-05-24T05:00:00Z,NEBR HWY bet S 27 and PIONEERS,H&R,B8-045584
B8-045598,2018-05-24T14:23:00Z,2018-05-24T05:00:00Z,N 48 at R,INJURY,B8-045598
B8-045629,2018-05-24T15:43:00Z,2018-05-24T05:00:00Z,S 11 at G,NA,B8-045629
B8-045632,2018-05-24T15:46:00Z,2018-05-24T05:00:00Z,N 14 at SUPERIOR,NA,B8-045632
B8-045645,2018-05-24T16:03:00Z,2018-05-24T05:00:00Z,S 44 at LENOX,H&R,NA
B8-045646,2018-05-24T16:15:00Z,2018-05-24T05:00:00Z,ADAMS bet N 45 and N 46,NA,B8-045646
B8-045652,2018-05-24T16:25:00Z,2018-05-24T05:00:00Z,W ZEAMER bet NW 52 and W KINGSLEY,INJURY,NA
B8-045655,2018-05-24T00:00:00Z,2018-05-24T05:00:00Z,N 27 bet HOLDREGE and STARR,INJURY    H&R,B8-045655
B8-045656,2018-05-24T16:24:00Z,2018-05-24T05:00:00Z,BRYAN EAST HOSPITAL @1600 S 48TH ST,No report,NA
B8-045670,2018-05-24T17:03:00Z,2018-05-24T05:00:00Z,GRIFFITH bet CENTER and MERRILL,NA,B8-045670
B8-045672,2018-05-24T17:10:00Z,2018-05-24T05:00:00Z,S 48 bet M and O,NA,NA
B8-045678,2018-05-24T15:09:00Z,2018-05-24T05:00:00Z,S 10 at N,H&R,NA
B8-045681,2018-05-24T17:34:00Z,2018-05-24T05:00:00Z,CUSHMAN DR / S 14TH ST,No report,NA
B8-045686,2018-05-24T18:00:00Z,2018-05-24T05:00:00Z,OLD CHENEY bet S 56 and S 58,NA,B8-045686
B8-045763,2018-05-24T22:22:00Z,2018-05-24T05:00:00Z,NORMAL bet S 58 and S 59,NA,B8-045763
B8-045766,2018-05-24T22:35:00Z,2018-05-24T05:00:00Z,O bet 14 and CENTENNIAL MALL,INJURY,NA
B8-045842,2018-05-25T00:00:00Z,2018-05-25T05:00:00Z,N COTNER bet P and R,H&R,NA
B8-045877,2018-05-25T10:00:00Z,2018-05-25T05:00:00Z,at 1641 N 86,H&R,NA
B8-045881,2018-05-25T10:34:00Z,2018-05-25T05:00:00Z,1100B W BOND ST ;QUALITY INN,No report,B8-045881
B8-045901,2018-05-25T11:42:00Z,2018-05-25T05:00:00Z,S 27 bet N and O,NA,B8-045901
B8-045909,2018-05-25T12:05:00Z,2018-05-25T05:00:00Z,S 44 at F,INJURY,B8-045909
B8-045924,2018-05-25T12:51:00Z,2018-05-25T05:00:00Z,CASEYS EAST @2243 N COTNER BLVD,No report,NA
B8-045946,2018-05-25T14:15:00Z,2018-05-25T05:00:00Z,S 49 at LONDON,INJURY,NA
B8-045951,2018-05-25T14:40:00Z,2018-05-25T05:00:00Z,N 56 bet R and S,NA,B8-045951
B8-045959,2018-05-25T14:40:00Z,2018-05-25T05:00:00Z,SUPERIOR bet LEWIS and N 14,H&R,NA
B8-045964,2018-05-25T15:00:00Z,2018-05-25T05:00:00Z,CAPITOL PKWY W bet S 9 and S FOLSOM,INJURY,NA
B8-045977,2018-05-25T15:39:00Z,2018-05-25T05:00:00Z,S 84 at OLD CHENEY,INJURY,B8-045977
B8-045979,2018-05-25T13:15:00Z,2018-05-25T05:00:00Z,at 3800 S 9,INJURY,NA
B8-045983,2018-05-25T15:45:00Z,2018-05-25T05:00:00Z,S 9 bet A and B,NA,B8-045983
B8-045988,2018-05-25T16:00:00Z,2018-05-25T05:00:00Z,S 17 bet N and O,NA,B8-045988
B8-045997,2018-05-25T12:05:00Z,2018-05-25T05:00:00Z,at 1900 DOVER,H&R,NA
B8-045998,2018-05-25T00:00:00Z,2018-05-25T05:00:00Z,UNKNOWN bet  and,H&R,NA
B8-046012,2018-05-25T16:35:00Z,2018-05-25T05:00:00Z,M bet S 1 and S 2,H&R,NA
B8-046015,2018-05-25T17:05:00Z,2018-05-25T05:00:00Z,NEBR HWY bet S 27 and SOUTHWOOD DR,NA,B8-046015
B8-046026,2018-05-25T00:00:00Z,2018-05-25T05:00:00Z,S 52 bet J and L,H&R,NA
B8-046028,2018-05-25T00:00:00Z,2018-05-25T05:00:00Z,N 29 bet ORCHARD and Y,H&R,NA
B8-046045,2018-05-25T18:38:00Z,2018-05-25T05:00:00Z,S 27 at ROKEBY RD,NA,B8-046045
B8-046049,2018-05-25T19:00:00Z,2018-05-25T05:00:00Z,S 70 at STACY,NA,B8-046049
B8-046068,2018-05-25T19:30:00Z,2018-05-25T05:00:00Z,at 6301 NORMAL BLVD,H&R,NA
B8-046078,2018-05-25T20:39:00Z,2018-05-25T05:00:00Z,NW 2 bet W BELMONT and W NANCE,H&R,NA
B8-046098,2018-05-25T21:30:00Z,2018-05-25T05:00:00Z,P ST / N 30TH ST ; - O ST,NA,NA
B8-046106,2018-05-25T21:45:00Z,2018-05-25T05:00:00Z,N 11 at NELSON,INJURY,B8-046106
B8-046117,2018-05-25T22:13:00Z,2018-05-25T05:00:00Z,O bet 25 and 26,NA,B8-046117
B8-046129,2018-05-25T22:50:00Z,2018-05-25T05:00:00Z,at 2620 STOCKWELL,H&R,B8-046129
B8-046150,2018-05-25T23:10:00Z,2018-05-25T05:00:00Z,SEACREST FIELD @7400 A ST,No report,NA
B8-046173,2018-05-26T00:22:00Z,2018-05-26T05:00:00Z,N 66 bet O and Q,INJURY,B8-046173
B8-046211,2018-05-26T02:14:00Z,2018-05-26T05:00:00Z,CALVERT bet S 49 and S 51,NA,B8-046211
B8-046241,2018-05-26T04:04:00Z,2018-05-26T05:00:00Z,ADAMS bet N 14 and PORTIA,H&R,B8-046241
B8-046281,2018-05-26T09:35:00Z,2018-05-26T05:00:00Z,HOMESTEAD EXP bet ROSA PARKS WAY and W O,INJURY,B8-046281
B8-046291,2018-05-26T10:15:00Z,2018-05-26T05:00:00Z,HOLDREGE at N COTNER,INJURY,B8-046291
B8-046295,2018-05-26T10:33:00Z,2018-05-26T05:00:00Z,N 27 bet CORNHUSKER and KNOX,NA,B8-046295
B8-046306,2018-05-26T11:30:00Z,2018-05-26T05:00:00Z,S 40 at CALVERT,NA,B8-046306
B8-046356,2018-05-26T15:00:00Z,2018-05-26T05:00:00Z,S 48 at SOUTH,NA,B8-046356
B8-046360,2018-05-26T08:00:00Z,2018-05-26T05:00:00Z,at 4700 N 27,H&R,NA
B8-046363,2018-05-26T15:25:00Z,2018-05-26T05:00:00Z,N 10 at Q,NA,B8-046363
B8-046370,2018-05-26T15:55:00Z,2018-05-26T05:00:00Z,S 17 at E,NA,B8-046370
B8-046372,2018-05-26T21:46:00Z,2018-05-26T05:00:00Z,N 11 at NELSON,NA,NA
B8-046377,2018-05-26T00:00:00Z,2018-05-26T05:00:00Z,S 26 bet H and RANDOLPH,H&R,NA
B8-046382,2018-05-26T16:44:00Z,2018-05-26T05:00:00Z,S 16TH ST / L ST ; SEC PARKING LOT,No report,NA
B8-046383,2018-05-26T00:00:00Z,2018-05-26T05:00:00Z,at 1323 C ST,NA,NA
B8-046390,2018-05-26T17:12:00Z,2018-05-26T05:00:00Z,SALT CREEK RDWY at N ANTELOPE VALL,NA,NA
B8-046402,2018-05-26T18:07:00Z,2018-05-26T05:00:00Z,NORMAL at SOUTH,NA,B8-046402
B8-046417,2018-05-26T18:51:00Z,2018-05-26T05:00:00Z,2940 N 14 at KWIK SHOP,H&R,NA
B8-046425,2018-05-26T19:00:00Z,2018-05-26T05:00:00Z,N 69 bet FREMONT and N COTNER,NA,B8-046425
B8-046434,2018-05-26T19:54:00Z,2018-05-26T05:00:00Z,N 66 bet BETHANY PARK and X,NA,NA
B8-046454,2018-05-26T21:11:00Z,2018-05-26T05:00:00Z,J bet S 25 and S 26,H&R,NA
B8-046473,2018-05-26T22:18:00Z,2018-05-26T05:00:00Z,S 27 at RANDOLPH,H&R,B8-046473
B8-046474,2018-05-26T22:19:00Z,2018-05-26T05:00:00Z,O bet 50 and 52,INJURY,B8-046474
B8-046499,2018-05-26T23:50:00Z,2018-05-26T05:00:00Z,S 70 at A,NA,B8-046499
B8-046514,2018-05-27T00:20:00Z,2018-05-27T05:00:00Z,CORNHUSKER bet N 27 and STATE FAIR PARK,INJURY,B8-046514
B8-046525,2018-05-27T01:00:00Z,2018-05-27T05:00:00Z,S 37 at SEWELL,INJURY,B8-046525
B8-046584,2018-05-27T00:00:00Z,2018-05-27T05:00:00Z,TURTLE CREEK RD bet N 11 and N 14,H&R,NA
B8-046598,2018-05-27T00:20:00Z,2018-05-27T05:00:00Z,CORNHUSKER bet N 27 and STATE FAIR PARK,INJURY,B8-046598
B8-046602,2018-05-27T02:30:00Z,2018-05-27T05:00:00Z,N 9 at Q,H&R,NA
B8-046608,2018-05-27T09:13:00Z,2018-05-27T05:00:00Z,P bet CENTENNIAL MALL and N 16,INJURY,B8-046608
B8-046616,2018-05-27T10:04:00Z,2018-05-27T05:00:00Z,S 31 at OLD CHENEY,INJURY,B8-046616
B8-046620,2018-05-27T10:40:00Z,2018-05-27T05:00:00Z,S 84 bet AMBER HILL and DUNROVIN RD,NA,NA
B8-046626,2018-05-27T11:10:00Z,2018-05-27T05:00:00Z,3810 OLD CHENEY at DRIVE THRU,H&R,B8-046626
B8-046643,2018-05-27T13:11:00Z,2018-05-27T05:00:00Z,S 25 at C,INJURY,B8-046643
B8-046645,2018-05-27T13:15:00Z,2018-05-27T05:00:00Z,YANKEE WOODS DR bet RUTHA LN and MOHAVE DR,INJURY,B8-046645
B8-046656,2018-05-27T14:00:00Z,2018-05-27T05:00:00Z,3500 N 27 at MENARDS,H&R,B8-046656
B8-046659,2018-05-27T14:39:00Z,2018-05-27T05:00:00Z,SOUTH bet S 17 and S 18,INJURY,B8-046659
B8-046678,2018-05-27T17:45:00Z,2018-05-27T05:00:00Z,ADAMS bet N 48 and N 49,H&R,NA
B8-046689,2018-05-27T16:25:00Z,2018-05-27T05:00:00Z,L bet S 14 and S 16,NA,B8-046689
B8-046690,2018-05-27T16:25:00Z,2018-05-27T05:00:00Z,O bet 24 and 25,NA,B8-046690
B8-046704,2018-05-27T00:00:00Z,2018-05-27T05:00:00Z,SALT CREEK RDWY at N ANTELOPE VALL,NA,B8-046704
B8-046721,2018-05-27T18:35:00Z,2018-05-27T05:00:00Z,S 27 at A,INJURY,B8-046721
B8-046730,2018-05-27T19:10:00Z,2018-05-27T05:00:00Z,PINE LAKE at S 61,INJURY,B8-046730
B8-046779,2018-05-27T21:35:00Z,2018-05-27T05:00:00Z,N ANTELOPE VALL bet MILITARY and VIRGINIA,NA,B8-046779
B8-046791,2018-05-27T22:05:00Z,2018-05-27T05:00:00Z,S 13 bet K and LINCOLN MALL,NA,B8-046791
B8-046844,2018-05-28T00:35:00Z,2018-05-28T05:00:00Z,N 35 bet T and VINE,NA,B8-046844
B8-046915,2018-05-28T06:37:00Z,2018-05-28T05:00:00Z,7320 FORBES DR,No report,NA
B8-046917,2018-05-28T00:00:00Z,2018-05-28T05:00:00Z,E bet S 16 and S 17,NA,NA
B8-046952,2018-05-28T10:53:00Z,2018-05-28T05:00:00Z,SW 40TH ST / W O ST ;SB,NA,NA
B8-046976,2018-05-28T13:04:00Z,2018-05-28T05:00:00Z,N 29 at VINE,NA,B8-046976
B8-046987,2018-05-28T13:44:00Z,2018-05-28T05:00:00Z,N 1 bet ADAMS and W BELMONT,NA,B8-046987
B8-047007,2018-05-28T14:50:00Z,2018-05-28T05:00:00Z,SUPERIOR bet N 20 and N 21,NA,B8-047007
B8-047016,2018-05-28T15:25:00Z,2018-05-28T05:00:00Z,N 27 bet PEAR and VINE,NA,B8-047016
B8-047018,2018-05-28T15:45:00Z,2018-05-28T05:00:00Z,A bet S 46 and S 48,NA,B8-047018
B8-047043,2018-05-28T17:25:00Z,2018-05-28T05:00:00Z,CAPITOL BEACH bet W O and W P,H&R,NA
B8-047045,2018-05-28T00:00:00Z,2018-05-28T05:00:00Z,at UNKNOWN,H&R,NA
B8-047079,2018-05-28T19:28:00Z,2018-05-28T05:00:00Z,27 at O,INJURY,B8-047079
B8-047090,2018-05-28T20:13:00Z,2018-05-28T05:00:00Z,S 27 bet E and F,NA,B8-047090
B8-047136,2018-05-28T19:30:00Z,2018-05-28T05:00:00Z,at 3761 NORMAL,INJURY,NA
B8-047148,2018-05-28T23:15:00Z,2018-05-28T05:00:00Z,PIONEERS at NEBR HWY,NA,B8-047148
B8-047200,2018-05-29T00:00:00Z,2018-05-29T05:00:00Z,N 24 bet T and U,H&R,NA
B8-047204,2018-05-29T06:56:00Z,2018-05-29T05:00:00Z,NW 27TH ST / 34 ; JS,NA,NA
B8-047210,2018-05-29T07:34:00Z,2018-05-29T05:00:00Z,LAURA bet S 34 and S 36,NA,B8-047210
B8-047266,2018-05-29T11:20:00Z,2018-05-29T05:00:00Z,C bet S 7 and S 8,NA,NA
B8-047277,2018-05-29T11:55:00Z,2018-05-29T05:00:00Z,1110 O at PARKING GARAGE,NA,NA
B8-047296,2018-05-29T12:55:00Z,2018-05-29T05:00:00Z,N 12 & N 14 bet NEW HAMPSHIRE and CLAREMONT,NA,B8-047296
B8-047317,2018-05-29T13:55:00Z,2018-05-29T05:00:00Z,27 at O,H&R,B8-047317
B8-047318,2018-05-29T14:04:00Z,2018-05-29T05:00:00Z,NEBR HWY bet S 40 and S 48,NA,B8-047318
B8-047322,2018-05-29T14:08:00Z,2018-05-29T05:00:00Z,N 33 at R,NA,B8-047322
B8-047324,2018-05-29T14:13:00Z,2018-05-29T05:00:00Z,CORNHUSKER bet HAVELOCK and HWY 77,NA,B8-047324
B8-047325,2018-05-29T14:22:00Z,2018-05-29T05:00:00Z,R bet N 50 and N 52,INJURY,B8-047325
B8-047329,2018-05-29T14:32:00Z,2018-05-29T05:00:00Z,6300 BLACKSTONE RD,No report,NA
B8-047330,2018-05-29T14:24:00Z,2018-05-29T05:00:00Z,O ST / N 27TH ST,NA,NA
B8-047333,2018-05-29T14:45:00Z,2018-05-29T05:00:00Z,NEBR HWY bet S 27 and SOUTHWOOD DR,NA,B8-047333
B8-047338,2018-05-29T14:55:00Z,2018-05-29T05:00:00Z,N 11TH ST / OAK ST ; WB,No report,NA
B8-047342,2018-05-29T14:50:00Z,2018-05-29T05:00:00Z,LOBO CITY MEX @338 N 27TH ST,No report,NA
B8-047345,2018-05-29T13:30:00Z,2018-05-29T05:00:00Z,W A bet S CODDINGTON and SW 17,NA,NA
B8-047350,2018-05-29T15:17:00Z,2018-05-29T05:00:00Z,LAKESIDE DR / W LAKESHORE DR,No report,NA
B8-047364,2018-05-29T15:50:00Z,2018-05-29T05:00:00Z,S 27 at OLD CHENEY,NA,B8-047364
B8-047365,2018-05-29T00:00:00Z,2018-05-29T05:00:00Z,VAN DORN bet NORMAL and KATY,H&R,NA
B8-047373,2018-05-29T15:56:00Z,2018-05-29T05:00:00Z,S 56 bet OLD CHENEY and NEBR HWY,NA,B8-047373
B8-047385,2018-05-29T14:40:00Z,2018-05-29T05:00:00Z,SOUTH bet S 16 and S 17,NA,NA
B8-047388,2018-05-29T16:30:00Z,2018-05-29T05:00:00Z,O bet 68 and 70,NA,B8-047388
B8-047397,2018-05-29T16:50:00Z,2018-05-29T05:00:00Z,N 84 bet LEXINGTON and LEIGHTON,NA,B8-047397
B8-047406,2018-05-29T17:12:00Z,2018-05-29T05:00:00Z,N 33 bet Q and R,NA,B8-047406
B8-047409,2018-05-29T17:20:00Z,2018-05-29T05:00:00Z,N 33 at MERRILL,INJURY,B8-047409
B8-047414,2018-05-29T17:35:00Z,2018-05-29T05:00:00Z,S 40 bet LAKE and NORMAL,INJURY,B8-047414
B8-047424,2018-05-29T18:19:00Z,2018-05-29T05:00:00Z,S 26 & S 27 at O & P,NA,NA
B8-047430,2018-05-29T07:00:00Z,2018-05-29T05:00:00Z,NW 27 bet WILDROSE and W FLETCHER,H&R,NA
B8-047472,2018-05-29T20:20:00Z,2018-05-29T05:00:00Z,N 27 bet T and VINE,NA,B8-047472
B8-047477,2018-05-29T20:41:00Z,2018-05-29T05:00:00Z,3102 J ST at KIWANIS BASEBALL,H&R,NA
B8-047482,2018-05-29T18:00:00Z,2018-05-29T05:00:00Z,KEITH bet BENTON and DEAD END,NA,B8-047482
B8-047491,2018-05-29T21:30:00Z,2018-05-29T05:00:00Z,S 70 bet NORMAL and HOLMES PARK RD,H&R,NA
B8-047507,2018-05-29T22:52:00Z,2018-05-29T05:00:00Z,S 27 bet M and N,NA,B8-047507
B8-047513,2018-05-29T00:00:00Z,2018-05-29T05:00:00Z,IDYLWILD at HOLDREGE,H&R,NA
B8-047523,2018-05-30T00:15:00Z,2018-05-30T05:00:00Z,S 9 at G,NA,B8-047523
B8-047568,2018-05-30T07:30:00Z,2018-05-30T05:00:00Z,CAPITOL PKWY bet E and RANDOLPH,NA,B8-047568
B8-047588,2018-05-30T09:06:00Z,2018-05-30T05:00:00Z,S 16TH ST / OLD CHENEY RD ;EB,NA,NA
B8-047591,2018-05-30T09:16:00Z,2018-05-30T05:00:00Z,S 46 at MEREDETH,NA,NA
B8-047608,2018-05-30T10:15:00Z,2018-05-30T05:00:00Z,SOUTH at S COTNER,INJURY,B8-047608
B8-047612,2018-05-30T10:27:00Z,2018-05-30T05:00:00Z,N 28TH ST / O ST ; SS,No report,NA
B8-047619,2018-05-30T15:30:00Z,2018-05-30T05:00:00Z,N 14 at SUPERIOR,NA,NA
B8-047651,2018-05-30T00:00:00Z,2018-05-30T05:00:00Z,N 22 bet DUDLEY and Y,H&R,NA
B8-047655,2018-05-30T13:00:00Z,2018-05-30T05:00:00Z,4700 N 27 at CHANDLER,H&R,NA
B8-047657,2018-05-30T13:00:00Z,2018-05-30T05:00:00Z,S 84 bet OLD CHENEY and FOXTAIL DR,NA,B8-047657
B8-047660,2018-05-30T13:25:00Z,2018-05-30T05:00:00Z,MICKLE MIDDLE SCHOOL @2500 N 67TH ST,NA,NA
B8-047681,2018-05-30T14:50:00Z,2018-05-30T05:00:00Z,LEIGHTON bet N 65 and N COTNER,INJURY,B8-047681
B8-047682,2018-05-30T14:55:00Z,2018-05-30T05:00:00Z,PINE LAKE bet S 27 and S 28,INJURY,B8-047682
B8-047688,2018-05-30T15:30:00Z,2018-05-30T05:00:00Z,A bet S 19 and S 20,H&R,NA
B8-047689,2018-05-30T15:33:00Z,2018-05-30T05:00:00Z,at 2805 S 48,INJURY,B8-047689
B8-047695,2018-05-30T15:37:00Z,2018-05-30T05:00:00Z,S COTNER bet FAIRDALE and VALLEY,INJURY,B8-047695
B8-047698,2018-05-30T12:21:00Z,2018-05-30T05:00:00Z,N 7 bet P and Q,NA,NA
B8-047703,2018-05-30T15:54:00Z,2018-05-30T05:00:00Z,ADAMS bet N 42 and N 43,INJURY,B8-047703
B8-047725,2018-05-30T17:19:00Z,2018-05-30T05:00:00Z,VINE bet N 42 and N 44,NA,B8-047725
B8-047732,2018-05-30T17:24:00Z,2018-05-30T05:00:00Z,N 27 at R,NA,B8-047732
B8-047733,2018-05-30T17:37:00Z,2018-05-30T05:00:00Z,S 27 bet PINE LAKE and PORTER RIDGE,NA,NA
B8-047737,2018-05-30T17:15:00Z,2018-05-30T05:00:00Z,N 58 bet GILLAN and R,H&R,NA
B8-047740,2018-05-30T17:40:00Z,2018-05-30T05:00:00Z,S 84 bet AUGUSTA DR and WENDELL WAY,NA,B8-047740
B8-047748,2018-05-30T18:19:00Z,2018-05-30T05:00:00Z,N 23 at ORCHARD,INJURY,NA
B8-047750,2018-05-30T18:26:00Z,2018-05-30T05:00:00Z,N 40TH ST / VINE ST ; WB,NA,NA
B8-047759,2018-05-30T10:00:00Z,2018-05-30T05:00:00Z,SHERWOOD at GLADSTONE,INJURY,NA
B8-047778,2018-05-30T19:48:00Z,2018-05-30T05:00:00Z,N COTNER bet N 62 and VINE,NA,B8-047778
B8-047780,2018-05-30T19:51:00Z,2018-05-30T05:00:00Z,S 50 bet J and RANDOLPH,NA,B8-047780
B8-047786,2018-05-30T19:59:00Z,2018-05-30T05:00:00Z,2030 INDEPENDENCE DR,No report,NA
B8-047787,2018-05-30T20:00:00Z,2018-05-30T05:00:00Z,S 16 at SOUTH,NA,B8-047787
B8-047804,2018-05-30T21:12:00Z,2018-05-30T05:00:00Z,S 70 at PIONEERS,NA,NA
B8-047815,2018-05-30T21:40:00Z,2018-05-30T05:00:00Z,NORMAL bet S 40 and S COTNER,INJURY,B8-047815
B8-047822,2018-05-30T21:45:00Z,2018-05-30T05:00:00Z,N ANTELOPE VALL bet VINE and N 17,H&R,NA
B8-047842,2018-05-30T22:45:00Z,2018-05-30T05:00:00Z,I 180 bet I 80 and SUPERIOR,H&R,NA
B8-047887,2018-05-31T01:45:00Z,2018-05-31T05:00:00Z,S 16 bet DAKOTA and PAWNEE,H&R,NA
B8-047975,2018-05-31T11:52:00Z,2018-05-31T05:00:00Z,N 27 bet Q and R,NA,B8-047975
B8-047980,2018-05-31T12:00:00Z,2018-05-31T05:00:00Z,STARR bet LANCASTER and URBANA,NA,B8-047980
B8-047990,2018-05-31T12:27:00Z,2018-05-31T05:00:00Z,N 1ST ST / ADAMS ST,No report,NA
B8-047999,2018-05-31T13:01:00Z,2018-05-31T05:00:00Z,WALTZ RD / S 56TH ST ; EB; IN FR OF THE STOR,No report,NA
