Case.Number,Time,Date,Location,Accident.Type,Tickets
B7-001206,2017-01-05T08:15:00Z,2017-01-05T06:00:00Z,S 14 at SOUTH,H&R,NA
B7-001207,2017-01-05T08:50:00Z,2017-01-05T06:00:00Z,S CODDINGTON AVE / W VAN DORN ST ; JE NS,No report,NA
B7-001208,2017-01-05T08:55:00Z,2017-01-05T06:00:00Z,N bet S 17 and S 18,NA,B7-001208
B7-001209,2017-01-05T08:55:00Z,2017-01-05T06:00:00Z,N 27 bet FAIRFIELD and KNOX,NA,B7-001209
B7-001210,2017-01-05T09:05:00Z,2017-01-05T06:00:00Z,TICONDEROGA bet N 26 and N 27,NA,B7-001210
B7-001216,2017-01-05T09:20:00Z,2017-01-05T06:00:00Z,N ANTELOPE VALL bet SALT CREEK RDWY and N 17,NA,NA
B7-001218,2017-01-05T09:30:00Z,2017-01-05T06:00:00Z,S 24 at GARFIELD,INJURY,B7-001218
B7-001220,2017-01-05T09:30:00Z,2017-01-05T06:00:00Z,S 48 bet ANTELOPE CREEK and VAN DORN,NA,B7-001220
B7-001221,2017-01-05T09:45:00Z,2017-01-05T06:00:00Z,S 70 at SOUTH,NA,NA
B7-001223,2017-01-05T09:50:00Z,2017-01-05T06:00:00Z,O bet 46 and 48,NA,B7-001223
B7-001226,2017-01-05T09:55:00Z,2017-01-05T06:00:00Z,84TH ST / COLLEGE PARK RD ; JE,No report,NA
B7-001227,2017-01-05T09:50:00Z,2017-01-05T06:00:00Z,FAULKNER DR bet CAPE CHARLES DR and VILLAGE DR,NA,B7-001227
B7-001229,2017-01-05T10:00:00Z,2017-01-05T06:00:00Z,MILITARY bet N 10 and BESSIE,NA,NA
B7-001232,2017-01-05T10:09:00Z,2017-01-05T06:00:00Z,P bet CENTENNIAL MALL and N 16,NA,NA
B7-001234,2017-01-05T10:15:00Z,2017-01-05T06:00:00Z,S 11 at L,INJURY,B7-001234
B7-001236,2017-01-05T10:27:00Z,2017-01-05T06:00:00Z,2545 THERESA ST @SHAMROCK TRLR CRT,No report,NA
B7-001239,2017-01-05T00:00:00Z,2017-01-05T06:00:00Z,NEBR HWY bet CALVERT and PIONEERS,H&R,NA
B7-001241,2017-01-05T10:40:00Z,2017-01-05T06:00:00Z,CHARLESTON bet N 10 and N 9,NA,NA
B7-001246,2017-01-05T11:17:00Z,2017-01-05T06:00:00Z,N ANTELOPE VALL bet MILITARY and SALT CREEK RD,NA,B7-001246
B7-001248,2017-01-05T11:15:00Z,2017-01-05T06:00:00Z,S 17 bet F and G,NA,B7-001248
B7-001250,2017-01-05T11:25:00Z,2017-01-05T06:00:00Z,S 6 bet H and J,INJURY,B7-001250
B7-001252,2017-01-05T00:00:00Z,2017-01-05T06:00:00Z,S 46 bet COOPER and STOCKWELL,H&R,NA
B7-001254,2017-01-05T11:39:00Z,2017-01-05T06:00:00Z,S 48 at A,INJURY,B7-001254
B7-001255,2017-01-05T11:51:00Z,2017-01-05T06:00:00Z,N 29 bet O and P,INJURY    H&R,NA
B7-001256,2017-01-05T11:50:00Z,2017-01-05T06:00:00Z,NEBR HWY bet OLD CHENEY and APPLES WAY,NA,B7-001256
B7-001262,2017-01-05T11:38:00Z,2017-01-05T06:00:00Z,S 14 bet CENTERPARK and PIONEERS,NA,B7-001262
B7-001266,2017-01-05T12:29:00Z,2017-01-05T06:00:00Z,BURGER KING @2500 N 11TH ST ; PARKING LOT,No report,NA
B7-001270,2017-01-05T12:00:00Z,2017-01-05T06:00:00Z,S 13 bet E and F,NA,B7-001270
B7-001273,2017-01-05T12:24:00Z,2017-01-05T06:00:00Z,SW 33 bet W SUMNER and W ROSE,NA,B7-001273
B7-001282,2017-01-05T13:20:00Z,2017-01-05T06:00:00Z,12 at O,NA,NA
B7-001290,2017-01-05T11:00:00Z,2017-01-05T06:00:00Z,N 66 at N COTNER,NA,NA
B7-001302,2017-01-05T14:20:00Z,2017-01-05T06:00:00Z,S 48 bet M and O,NA,B7-001302
B7-001308,2017-01-05T15:03:00Z,2017-01-05T06:00:00Z,S 70 bet MONTEREY and SOUTH,NA,B7-001308
B7-001316,2017-01-05T15:39:00Z,2017-01-05T06:00:00Z,N 48 bet O and R,INJURY,B7-001316
B7-001319,2017-01-05T15:45:00Z,2017-01-05T06:00:00Z,N 38 at HOLDREGE,NA,B7-001319
B7-001321,2017-01-05T00:00:00Z,2017-01-05T06:00:00Z,N 19 bet R and S,H&R,NA
B7-001322,2017-01-05T15:54:00Z,2017-01-05T06:00:00Z,S 56 bet OTOE and VAN DORN,INJURY,B7-001322
B7-001323,2017-01-05T15:50:00Z,2017-01-05T06:00:00Z,W VAN DORN bet S CODDINGTON and SW 16,INJURY,B7-001323
B7-001329,2017-01-05T16:31:00Z,2017-01-05T06:00:00Z,VAN DORN bet S 48 and S 51,NA,B7-001329
B7-001330,2017-01-05T16:31:00Z,2017-01-05T06:00:00Z,BRIARPARK bet S 40 and STONECLIFFE,NA,B7-001330
B7-001331,2017-01-05T16:30:00Z,2017-01-05T06:00:00Z,O bet 66 and 68,NA,B7-001331
B7-001335,2017-01-05T16:54:00Z,2017-01-05T06:00:00Z,BALDWIN bet N 65 and N COTNER,H&R,NA
B7-001337,2017-01-05T16:59:00Z,2017-01-05T06:00:00Z,S 8 at B,NA,NA
B7-001345,2017-01-05T17:18:00Z,2017-01-05T06:00:00Z,N 59 at AYLESWORTH,NA,B7-001345
B7-001349,2017-01-05T17:39:00Z,2017-01-05T06:00:00Z,PINE LAKE bet S 40 and S 42,INJURY,B7-001349
B7-001351,2017-01-05T16:15:00Z,2017-01-05T06:00:00Z,N 93 at LEIGHTON,NA,NA
B7-001355,2017-01-05T18:17:00Z,2017-01-05T06:00:00Z,GARRET LN bet S 14 and S 16,NA,B7-001355
B7-001377,2017-01-05T00:00:00Z,2017-01-05T06:00:00Z,NW 38 at W CUMING,NA,B7-001377
B7-001378,2017-01-05T19:57:00Z,2017-01-05T06:00:00Z,N 48 bet O and R,INJURY,B7-001378
B7-001384,2017-01-05T20:11:00Z,2017-01-05T06:00:00Z,16TH ST / SOUTH ST ; WB,NA,NA
B7-001397,2017-01-05T20:50:00Z,2017-01-05T06:00:00Z,at 1709 WASHINGTON,H&R,B7-001397
